,,,,
Produit,Marque,Code-barres,Lot,DDM
Assortiment Sticks Feuilletes PICARD,Picard,85015,S40279,Toutes les DLUO
GRANOLA MIEL ET GRAINES 350G ,SUPERNATURE Catherine Kluger,3770007543004,,14/09/21
GRANOLA CHOC CRU ET CUIT 350G ,SUPERNATURE Catherine Kluger,3770007543011,,15/09/21
GRANOLA SESAME NOISETTE 350G ,SUPERNATURE Catherine Kluger,3770007543516,,04/09/2021   16/09/2021
GRANOLA EPICES NOEL 350G ,SUPERNATURE Catherine Kluger,3770007543417,,14/09/21
GRANOLA CAROTTE GINGER 100G ,SUPERNATURE Catherine Kluger,3770007543363,,15/09/21
BARRE GRANOLA MIEL GRAINES 40G ,SUPERNATURE Catherine Kluger,3770007543226,,01/09/21
BARRE GRANOLA CHOC GRAINES 40G ,SUPERNATURE Catherine Kluger,3770007543233,,01/09/2021   02/09/2021
Graines de sesame 1Kg,FRUIBON,3270727101077,10059007,24/11/20
Assortiment sale Toque du Chef congele. 6 eclairs 8 religieuses aperitives,Toque du chef/Lidl,13700832807139,20273,
Assortiment sale Toque du Chef congele. 6 eclairs 8 religieuses aperitives,Toque du chef/Lidl,13700832807139,20275,
Assortiment sale Toque du Chef congele. 6 eclairs 8 religieuses aperitives,Toque du chef/Lidl,13700832807139,20276,
12 biscuits au pur son d'avoine graines et fleurs d'hibiscus,DUKAN,376015104260,10092021,10/09/21
Crackers au parmesan,DUKAN,3760151014413,27072021,27/07/21
pain cereales tranche bio ref 60314,Picard,82161,15052020,
flute 6 cereales 3 graines bio 230 g congele ref 2284,FRANPRIX,,44091,23/09/2021
MAGRET CANARD LAQUE 320G,Picard,88262,474448,01/01/22
MAGRET CANARD LAQUE 320G,Picard,88262,472108,30/01/22
10 MINI CHEESEBURGER 165G,Picard,89378,30/04/2021 au 12/03/2022,30/04/2021 au 12/03/2022
Petits Pains Grilles  cereales bio 225g,LE MOULIN DU PIVERT,3268350120268,30/04/2024 au 26/05/2021,25/08/21
Petits Pains Grilles  cereales bio 225g,LE MOULIN DU PIVERT,3268350120268,44385,16/09/21
Petits Pains Grilles  cereales bio 225g,LE MOULIN DU PIVERT,3268350120268,44367,30/09/21
Petits Pains Grilles 5 cereales et 3 graines bio 225g,CHABRIOR - Intermarche,3250391774111,44383,02/09/21
Petits Pains Grilles 5 cereales et 3 graines bio 225g,CHABRIOR - Intermarche,3250391774111,260,16/09/21
Petits Pains Grilles 5 cereales et 3 graines bio 225g,CHABRIOR - Intermarche,3250391774111,261,17/09/21
Petits Pains Grilles 5 cereales et 3 graines bio 225g,CHABRIOR - Intermarche,3250391774111,274,30/09/21
Petits Pains Grilles 5 cereales et 3 graines bio 225g,CHABRIOR - Intermarche,3250391774111,281,07/10/21
Petits Pains Grilles 5 cereales et 3 graines bio 225g,CHABRIOR - Intermarche,3250391774111,282,08/10/21
Petits Pains Grilles 5 cereales et 3 graines bio 225g,CHABRIOR - Intermarche,3250391774111,287,13/10/21
Petits Pains Grilles cereales 225g,Bio Nature pour CORA,3268350120268,287,13/10/21
Evasion canapes,carrefour,3450350050137,202662529,25/03/22
Temptation canapes,carrefour,3450350050281,202482392,07/03/22
Evasion canapes,Toupargel,3450350050304,202482392,08/03/22
Evasion canapes,TIPIAK,3450350050281,202482392,09/03/22
Evasion canapes LAD,MAXIMO,3450350050304,202402223,27/02/22
36 vegan cocktail selection,TIPIAK,3450350050540,202732544,29/09/21
18 mises en bouche de la mer,TIPIAK,3450350090782,200553290,22/02/21
45 luxury temptation canapes,TIPIAK,3450350050397,202792571,07/04/21
16 canapes Monique Ranou,Intermarche,3250392542382,202232367,10/08/21
16 canapes Monique Ranou,Intermarche,3250392542382,202472185,03/09/21
16 canapes Monique Ranou,Intermarche,3250392542382,202542094,10/09/21
16 canapes Monique Ranou,Intermarche,3250392542382,202722318,28/09/21
20 canapes aperitifs,Picard,3270160838950,202162646,03/08/21
20 canapes aperitifs,Picard,3270160838950,202172787,04/08/21
20 canapes aperitifs,Picard,3270160838950,202172795,04/08/21
20 canapes aperitifs,Picard,3270160838950,202182943,05/08/21
20 canapes aperitifs,Picard,3270160838950,202182950,05/08/21
20 canapes aperitifs,Picard,3270160838950,202192087,06/08/21
20 canapes aperitifs,Picard,3270160838950,202192095,06/08/21
20 canapes aperitifs,Picard,3270160838950,202692111,25/09/21
20 canapes aperitifs,Picard,3270160838950,202692121,25/09/21
20 canapes aperitifs,Picard,3270160838950,202722306,28/09/21
20 canapes aperitifs,Picard,3270160838950,201922626,10/07/21
20 canapes aperitifs,Picard,3270160838950,201982904,16/07/21
20 canapes aperitifs,Picard,3270160838950,201992022,17/07/21
20 canapes aperitifs,Picard,3270160838950,201992018,17/07/21
20 canapes aperitifs,Picard,3270160838950,202022118,20/07/21
20 canapes aperitifs,Picard,3270160838950,202032250,21/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200453676,12/02/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200483759,15/02/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200493877,16/02/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200493891,16/02/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200503974,17/02/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200513093,18/02/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200523151,18/02/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200523154,19/02/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,200633824,03/03/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,201993357,17/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202023405,20/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202053667,23/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202063744,24/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202093808,27/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202093814,27/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202113987,29/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202133130,31/07/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202163196,03/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202163197,03/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202173297,04/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202183352,05/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202203498,07/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202233558,10/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202253745,12/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202303933,17/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202303942,17/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202313030,18/08/21
